0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
128.0,183.0,184.0,185.0,186.0,187.0,,,,,,,,,,,,,,,
94.0,128.0,130.0,131.0,132.0,186.0,187.0,,,,,,,,,,,,,,
26.0,33.0,36.0,58.0,82.0,84.0,85.0,182.0,,,,,,,,,,,,,
44.0,45.0,90.0,119.0,120.0,167.0,168.0,169.0,170.0,171.0,172.0,183.0,195.0,196.0,197.0,,,,,,
8.0,45.0,49.0,50.0,64.0,86.0,87.0,88.0,121.0,134.0,135.0,149.0,171.0,172.0,173.0,174.0,197.0,198.0,199.0,200.0,
10.0,64.0,149.0,150.0,173.0,188.0,,,,,,,,,,,,,,,
309.0,310.0,346.0,382.0,383.0,384.0,,,,,,,,,,,,,,,
295.0,305.0,330.0,331.0,332.0,333.0,334.0,384.0,,,,,,,,,,,,,
226.0,230.0,282.0,288.0,334.0,344.0,345.0,,,,,,,,,,,,,,
244.0,245.0,289.0,291.0,321.0,336.0,358.0,374.0,376.0,391.0,392.0,393.0,394.0,,,,,,,,
249.0,261.0,262.0,263.0,273.0,336.0,337.0,338.0,359.0,360.0,374.0,375.0,385.0,393.0,394.0,395.0,396.0,397.0,398.0,399.0,400.0
210.0,262.0,264.0,266.0,325.0,360.0,385.0,386.0,,,,,,,,,,,,,
