SA,AP
173.0,163.69134680899387
158.0,162.75774336283186
185.5,157.6075205640423
159.0,154.26902086677367
147.0,145.23238048299655
117.0,47.55432432432433
75.0,98.77172958735731
173.0,163.69134680899387
144.0,146.2364455222588
156.0,133.40104166666666
77.0,131.61242344706912
147.0,145.23238048299655
117.0,47.55432432432433
10.0,108.65674362089916
6.0,97.03144063819803
11.0,101.82786885245902
31.0,109.83657307415407
114.5,125.47436332767404
120.0,128.6532593619972
96.0,93.94967781528077
175.0,148.10849478390463
53.0,104.54344550477148
90.0,101.8995057660626
116.0,145.23682890115404
106.0,131.33410244577755
136.0,64.23342354533153
181.0,124.49029356060606
200.0,108.45004174784304
198.0,117.1597188560349
182.0,91.17621252741895
141.0,103.40021401819156
125.5,67.20069204152249
158.0,162.75774336283186
102.0,113.13382507903056
100.0,93.7944634053849
139.0,82.8892455858748
37.0,30.046186440677968
90.0,101.8995057660626
66.0,91.062924120913
36.0,113.02675760755508
69.0,41.98099891422367
127.5,81.85064645563976
155.0,89.86137787056367
107.0,127.76088110403396
99.0,51.60399257195915
199.0,77.22512774271115
172.0,66.43960149439602
142.0,53.994377284228285
141.0,103.40021401819156
125.5,67.20069204152249
192.0,71.45340796838985
190.0,177.2605055292259
139.0,82.8892455858748
113.0,72.22382920110194
111.0,76.97338590438639
75.0,72.49504587155964
4.0,29.454986295593507
69.0,41.98099891422367
142.0,53.994377284228285
185.5,154.23792160437557
192.0,71.45340796838985
51.5,76.71030927835052
